player,position,c,d,lw,rw,start_year,start_age,years_played,retire_year,retire_age
A.J. Greer\greeraj01,LW,0,0,1,0,2017,20,1,2017,20
Aaron Downey\downeaa01,RW,0,0,0,1,2006,31,4,2009,34
Aaron Ekblad\ekblaaa01,D,0,1,0,0,2015,18,3,2017,20
Aaron Gagnon\gagnoaa01,C,1,0,0,0,2010,23,4,2013,26
Aaron Gavey\gaveyaa01,C,1,0,0,0,2006,31,1,2006,31
Aaron Johnson\johnsaa01,D,0,1,0,0,2006,22,8,2013,29
Aaron MacKenzie\mackeaa01,D,0,1,0,0,2009,27,1,2009,27
Aaron Miller\milleaa01,D,0,1,0,0,2006,34,3,2009,36
Aaron Ness\nessaa01,D,0,1,0,0,2012,21,6,2017,26
Aaron Palushaj\palusaa01,RW,0,0,0,1,2011,21,4,2014,24
Aaron Rome\romeaa01,D,0,1,0,0,2007,23,8,2014,30
Aaron Volpatti\volpaaa01,LW,0,0,1,0,2011,25,5,2015,29
Aaron Voros\vorosaa01,LW,0,0,1,0,2008,26,4,2011,29
Aaron Ward\wardaa01,D,0,1,0,0,2006,33,5,2010,37
Adam Almqvist\almqvad01,D,0,1,0,0,2014,22,1,2014,22
Adam Berti\bertiad01,LW,0,0,1,0,2008,21,1,2008,21
Adam Burish\burisad01,C,1,0,0,0,2007,24,9,2015,32
Adam Clendening\clendad01,D,0,1,0,0,2015,22,3,2017,24
Adam Cracknell\crackad01,RW,0,0,0,1,2011,25,7,2017,31
Adam Erne\ernead01,LW,0,0,1,0,2017,21,1,2017,21
Adam Foote\footead01,D,0,1,0,0,2006,34,6,2011,39
Adam Hall\hallad01,RW,0,0,0,1,2006,25,9,2014,33
Adam Henrique\henriad01,C,1,0,0,0,2011,20,7,2017,26
Adam Larsson\larssad01,D,0,1,0,0,2012,19,6,2017,24
Adam Lowry\lowryad01,C,1,0,0,0,2015,21,3,2017,23
Adam Mair\mairad01,C,1,0,0,0,2006,26,6,2011,31
Adam McQuaid\mcquaad01,D,0,1,0,0,2010,23,8,2017,30
Adam Pardy\pardyad01,D,0,1,0,0,2009,24,9,2017,32
Adam Payerl\payerad01,C,1,0,0,0,2014,22,1,2014,22
Adam Pelech\pelecad01,D,0,1,0,0,2016,21,2,2017,22
Adam Pineault\pineaad01,RW,0,0,0,1,2008,21,1,2008,21
Adrian Aucoin\aucoiad01,D,0,1,0,0,2006,32,8,2013,39
Adrian Kempe\kempead01,LW,0,0,1,0,2017,20,1,2017,20
Aki Berg\bergak01,D,0,1,0,0,2006,28,1,2006,28
Akim Aliu\aliuak01,RW,0,0,0,1,2012,22,2,2013,23
Alain Nasreddine\nasreal01,D,0,1,0,0,2006,30,3,2009,32
Alan Quine\quineal01,C,1,0,0,0,2016,22,2,2017,23
Alec Martinez\martial01,D,0,1,0,0,2010,22,8,2017,29
Aleksander Barkov\barkoal01,C,1,0,0,0,2014,18,4,2017,21
Ales Hemsky\hemskal01,RW,0,0,0,1,2006,22,12,2017,33
Ales Kotalik\kotalal01,RW,0,0,0,1,2006,27,6,2011,32
Alex Biega\biegaal01,D,0,1,0,0,2015,26,3,2017,28
Alex Brooks\brookal01,D,0,1,0,0,2007,30,1,2009,30
Alex Chiasson\chiasal01,RW,0,0,0,1,2013,22,5,2017,26
Alex Foster\fosteal01,C,1,0,0,0,2008,23,1,2008,23
Alex Friesen\friesal01,C,1,0,0,0,2016,25,1,2016,25
Alex Frolov\froloal01,LW,0,0,1,0,2006,23,6,2011,28
Alex Galchenyuk\galchal01,C,1,0,0,0,2013,18,5,2017,22
Alex Goligoski\goligal01,D,0,1,0,0,2008,22,10,2017,31
Alex Grant\grantal01,D,0,1,0,0,2014,25,3,2016,27
Alex Henry\henryal01,D,0,1,0,0,2006,26,4,2009,29
Alex Killorn\killoal01,C,1,0,0,0,2013,23,5,2017,27
Alex Kovalev\kovalal01,RW,0,0,0,1,2006,32,8,2013,39
Alex Ovechkin\ovechal01,LW,0,0,1,0,2006,20,12,2017,31
Alex Petrovic\petroal01,D,0,1,0,0,2013,20,5,2017,24
Alex Pietrangelo\pietral01,D,0,1,0,0,2009,19,9,2017,27
Alex Plante\plantal01,D,0,1,0,0,2010,20,3,2012,22
Alex Steen\steenal01,C,1,0,0,0,2006,21,12,2017,32
Alex Tanguay\tangual01,LW,0,0,1,0,2006,26,11,2016,36
Alex Tuch\tuchal01,RW,0,0,0,1,2017,20,1,2017,20
Alex Zhamnov\zhamnal01,C,1,0,0,0,2006,35,1,2006,35
Alexander Burmistrov\burmial01,C,1,0,0,0,2011,19,7,2017,25
Alexander Edler\edleral01,D,0,1,0,0,2007,20,11,2017,30
Alexander Karpovtsev\karpoal01,D,0,1,0,0,2006,35,1,2006,35
Alexander Khavanov\khavaal01,D,0,1,0,0,2006,34,1,2006,34
Alexander Khokhlachev\khokhal01,C,1,0,0,0,2014,20,3,2016,22
Alexander Mogilny\mogilal01,RW,0,0,0,1,2006,36,1,2006,36
Alexander Nikulin\nikulal01,C,1,0,0,0,2008,22,2,2009,23
Alexander Nylander\nylanal01,RW,0,0,0,1,2017,18,1,2017,18
Alexander Perezhogin\perezal01,RW,0,0,0,1,2006,22,2,2009,23
Alexander Radulov\radulal01,RW,0,0,0,1,2007,20,11,2017,30
Alexander Semin\seminal01,LW,0,0,1,0,2007,22,10,2016,31
Alexander Suglobov\sugloal01,RW,0,0,0,1,2006,24,2,2009,25
Alexander Sulzer\sulzeal01,D,0,1,0,0,2009,24,6,2014,29
Alexander Svitov\svitoal01,C,1,0,0,0,2007,24,1,2009,24
Alexander Urbom\urbomal01,D,0,1,0,0,2011,20,4,2014,23
Alexander Vasyunov\vasyual01,LW,0,0,1,0,2011,22,1,2011,22
Alexander Wennberg\wennbal01,C,1,0,0,0,2015,20,3,2017,22
Alexandre Bolduc\boldual01,C,1,0,0,0,2009,23,7,2015,29
Alexandre Burrows\burroal01,LW,0,0,1,0,2006,24,12,2017,35
Alexandre Carrier\carrial01,D,0,1,0,0,2017,20,1,2017,20
Alexandre Daigle\daiglal02,RW,0,0,0,1,2006,30,1,2006,30
Alexandre Giroux\giroual01,C,1,0,0,0,2006,24,7,2012,30
Alexandre Grenier\grenial01,RW,0,0,0,1,2016,24,2,2017,25
Alexandre Picard\picaral01,D,0,1,0,0,2006,20,7,2012,26
Alexandre Picard\picaral02,LW,0,0,1,0,2006,20,5,2010,24
Alexei Emelin\emelial01,D,0,1,0,0,2012,25,6,2017,30
Alexei Kaigorodov\kaigoal01,C,1,0,0,0,2007,23,1,2009,23
Alexei Mikhnov\mikhnal01,LW,0,0,1,0,2007,24,1,2009,24
Alexei Ponikarovsky\ponikal01,LW,0,0,1,0,2006,25,8,2013,32
Alexei Semenov\semenal01,D,0,1,0,0,2006,24,4,2009,27
Alexei Yashin\yashial01,C,1,0,0,0,2006,32,2,2009,33
Alexei Zhitnik\zhitnal01,D,0,1,0,0,2006,33,3,2009,35
Alexey Marchenko\marchal01,D,0,1,0,0,2014,22,4,2017,25
Allan Rourke\rourkal01,D,0,1,0,0,2006,25,3,2009,27
Alyn McCauley\mccaual01,C,1,0,0,0,2006,28,2,2009,29
Anders Eriksson\eriksan01,D,0,1,0,0,2007,32,4,2010,35
Anders Lee\leean01,C,1,0,0,0,2013,22,5,2017,26
Andre Benoit\benoian01,D,0,1,0,0,2011,27,6,2016,32
Andre Burakovsky\burakan01,LW,0,0,1,0,2015,19,3,2017,21
Andre Deveaux\deveaan01,C,1,0,0,0,2009,24,4,2012,27
Andre Petersson\peteran02,RW,0,0,0,1,2012,21,1,2012,21
Andre Roy\royan01,LW,0,0,1,0,2006,30,4,2009,33
Andreas Athanasiou\athanan01,C,1,0,0,0,2016,21,2,2017,22
Andreas Englund\engluan01,D,0,1,0,0,2017,21,1,2017,21
Andreas Engqvist\engqvan01,C,1,0,0,0,2011,23,2,2012,24
Andreas Karlsson\karlsan01,C,1,0,0,0,2007,31,2,2009,32
Andreas Lilja\liljaan01,D,0,1,0,0,2006,30,8,2013,37
Andreas Martinsen\martian01,LW,0,0,1,0,2016,25,2,2017,26
Andreas Nodl\nodlan01,RW,0,0,0,1,2009,21,5,2013,25
Andreas Thuresson\thurean01,RW,0,0,0,1,2010,22,2,2011,23
Andrei Kostitsyn\kostian01,LW,0,0,1,0,2006,20,7,2012,26
Andrei Loktionov\loktian01,C,1,0,0,0,2010,19,5,2014,23
Andrei Markov\markoan01,D,0,1,0,0,2006,27,12,2017,38
Andrei Nazarov\nazaran01,RW,0,0,0,1,2006,31,1,2006,31
Andrei Zubarev\zubaran01,D,0,1,0,0,2011,23,1,2011,23
Andrei Zyuzin\zyuzian01,D,0,1,0,0,2006,28,3,2009,30
Andrej Meszaros\meszaan01,D,0,1,0,0,2006,20,10,2015,29
Andrej Nestrasil\nestran01,C,1,0,0,0,2015,23,3,2017,25
Andrej Sekera\sekeran01,D,0,1,0,0,2007,20,11,2017,30
Andrej Sustr\sustran01,D,0,1,0,0,2013,22,5,2017,26
Andrew Agozzino\agozzan01,LW,0,0,1,0,2015,24,2,2016,25
Andrew Alberts\alberan01,D,0,1,0,0,2006,24,9,2014,32
Andrew Bodnarchuk\bodnaan01,D,0,1,0,0,2010,21,7,2016,27
Andrew Brunette\brunean01,LW,0,0,1,0,2006,32,7,2012,38
Andrew Campbell\campban01,D,0,1,0,0,2014,25,3,2016,27
Andrew Cassels\cassean01,C,1,0,0,0,2006,36,1,2006,36
Andrew Cogliano\coglian01,C,1,0,0,0,2008,20,10,2017,29
Andrew Copp\coppan01,C,1,0,0,0,2015,20,3,2017,22
Andrew Desjardins\desjaan01,C,1,0,0,0,2011,24,7,2017,30
Andrew Ebbett\ebbetan01,C,1,0,0,0,2008,25,8,2015,32
Andrew Ference\ferenan01,D,0,1,0,0,2006,26,11,2016,36
Andrew Gordon\gordoan01,RW,0,0,0,1,2009,23,5,2013,27
Andrew Hutchinson\hutchan01,D,0,1,0,0,2006,25,6,2011,30
Andrew Joudrey\joudran01,C,1,0,0,0,2012,27,1,2012,27
Andrew Ladd\laddan01,LW,0,0,1,0,2006,20,12,2017,31
Andrew MacDonald\macdoan01,D,0,1,0,0,2009,22,9,2017,30
Andrew MacWilliam\macwian01,D,0,1,0,0,2015,24,1,2015,24
Andrew Miller\millean01,C,1,0,0,0,2015,26,2,2016,27
Andrew Murray\murraan01,C,1,0,0,0,2008,26,6,2013,31
Andrew Peters\peteran01,LW,0,0,1,0,2006,25,5,2010,29
Andrew Poturalski\poturan01,C,1,0,0,0,2017,23,1,2017,23
Andrew Shaw\shawan01,C,1,0,0,0,2012,20,6,2017,25
Andrey Pedan\pedanan01,D,0,1,0,0,2016,22,1,2016,22
Andy Andreoff\andrean01,C,1,0,0,0,2015,23,3,2017,25
Andy Delmore\delmoan01,D,0,1,0,0,2006,29,1,2006,29
Andy Greene\greenan01,D,0,1,0,0,2007,24,11,2017,34
Andy Hilbert\hilbean01,C,1,0,0,0,2006,24,5,2010,28
Andy McDonald\mcdonan01,C,1,0,0,0,2006,28,8,2013,35
Andy Miele\mielean01,C,1,0,0,0,2012,23,3,2014,25
Andy Roach\roachan01,D,0,1,0,0,2006,32,1,2006,32
Andy Sutton\suttoan01,D,0,1,0,0,2006,30,7,2012,36
Andy Wozniewski\woznian01,D,0,1,0,0,2006,25,5,2010,29
Anson Carter\cartean01,RW,0,0,0,1,2006,31,2,2009,32
Anssi Salmela\salmean01,D,0,1,0,0,2009,24,3,2011,26
Anthony Beauvillier\beauvan01,LW,0,0,1,0,2017,19,1,2017,19
Anthony Bitetto\bitetan01,D,0,1,0,0,2015,24,3,2017,26
Anthony DeAngelo\deangan01,D,0,1,0,0,2017,21,1,2017,21
Anthony Duclair\duclaan01,LW,0,0,1,0,2015,19,3,2017,21
Anthony Mantha\manthan01,RW,0,0,0,1,2016,21,2,2017,22
Anthony Peluso\pelusan01,RW,0,0,0,1,2013,23,4,2016,26
Anthony Stewart\stewaan01,C,1,0,0,0,2006,21,7,2012,27
Antoine Roussel\roussan01,C,1,0,0,0,2013,23,5,2017,27
Antoine Vermette\vermean01,C,1,0,0,0,2006,23,12,2017,34
Anton Babchuk\babchan01,D,0,1,0,0,2006,21,8,2013,28
Anton Belov\belovan01,D,0,1,0,0,2014,27,1,2014,27
Anton Blidh\blidhan01,LW,0,0,1,0,2017,21,1,2017,21
Anton Klementyev\klemean01,D,0,1,0,0,2010,19,1,2010,19
Anton Lander\landean01,C,1,0,0,0,2012,20,6,2017,25
Anton Lindholm\lindhan01,D,0,1,0,0,2017,22,1,2017,22
Anton Rodin\rodinan01,RW,0,0,0,1,2017,26,1,2017,26
Anton Slepyshev\slepyan01,LW,0,0,1,0,2016,21,2,2017,22
Anton Stralman\stralan01,D,0,1,0,0,2008,21,10,2017,30
Anton Volchenkov\volchan01,D,0,1,0,0,2006,23,10,2015,32
Antti Laaksonen\laaksan01,LW,0,0,1,0,2006,32,2,2009,33
Antti Miettinen\miettan01,LW,0,0,1,0,2006,25,8,2013,32
Antti Pihlstrom\pihlsan01,LW,0,0,1,0,2008,23,2,2009,24
Anze Kopitar\kopitan01,C,1,0,0,0,2007,19,11,2017,29
Arron Asham\ashamar01,RW,0,0,0,1,2006,27,9,2014,35
Artem Anisimov\anisiar01,C,1,0,0,0,2009,20,9,2017,28
Artemi Panarin\panarar01,LW,0,0,1,0,2016,24,2,2017,25
Artturi Lehkonen\lehkoar01,LW,0,0,1,0,2017,21,1,2017,21
Arturs Kulda\kuldaar01,D,0,1,0,0,2010,21,3,2012,23
Austin Czarnik\czarnau01,C,1,0,0,0,2017,24,1,2017,24
Austin Watson\watsoau01,LW,0,0,1,0,2013,21,5,2017,25
Auston Matthews\matthau01,C,1,0,0,0,2017,19,1,2017,19
B.J. Crombeen\crombbj01,RW,0,0,0,1,2008,22,8,2015,29
Barclay Goodrow\goodrba01,RW,0,0,0,1,2015,21,3,2017,23
Barret Jackman\jackmba01,D,0,1,0,0,2006,24,11,2016,34
Barry Tallackson\tallaba01,RW,0,0,0,1,2006,22,4,2009,25
Bates Battaglia\battaba01,LW,0,0,1,0,2007,31,2,2009,32
Beau Bennett\bennebe01,RW,0,0,0,1,2013,21,5,2017,25
Ben Chiarot\chiarbe01,D,0,1,0,0,2014,22,4,2017,25
Ben Clymer\clymebe01,D,0,1,0,0,2006,27,2,2009,28
Ben Eager\eagerbe01,LW,0,0,1,0,2006,22,9,2014,30
Ben Guite\guitebe01,C,1,0,0,0,2006,27,5,2010,31
Ben Hanowski\hanowbe01,LW,0,0,1,0,2013,22,2,2014,23
Ben Harpur\harpube01,D,0,1,0,0,2016,21,2,2017,22
Ben Holmstrom\holmsbe01,C,1,0,0,0,2011,23,2,2012,24
Ben Hutton\huttobe01,D,0,1,0,0,2016,22,2,2017,23
Ben Lovejoy\lovejbe01,D,0,1,0,0,2009,24,9,2017,32
Ben Maxwell\maxwebe01,C,1,0,0,0,2009,20,4,2012,23
Ben Ondrus\ondrube01,LW,0,0,1,0,2006,23,4,2009,26
Ben Simon\simonbe01,C,1,0,0,0,2006,27,1,2006,27
Ben Smith\smithbe01,RW,0,0,0,1,2011,22,7,2017,28
Ben Street\streebe01,C,1,0,0,0,2013,25,5,2017,29
Ben Thomson\thomsbe01,LW,0,0,1,0,2017,24,1,2017,24
Ben Walter\waltebe01,C,1,0,0,0,2006,21,5,2010,25
Benn Ferriero\ferribe01,C,1,0,0,0,2010,22,5,2014,26
Benoit Pouliot\poulibe01,LW,0,0,1,0,2007,20,11,2017,30
Bill Arnold\arnolbi01,C,1,0,0,0,2014,21,1,2014,21
Bill Guerin\gueribi01,RW,0,0,0,1,2006,35,5,2010,39
Bill Sweatt\sweatbi01,LW,0,0,1,0,2012,23,2,2013,24
Bill Thomas\thomabi01,RW,0,0,0,1,2006,22,7,2012,28
Bjorn Melin\melinbj01,RW,0,0,0,1,2007,25,1,2009,25
Blair Betts\bettsbl01,C,1,0,0,0,2006,25,6,2011,30
Blair Jones\jonesbl01,C,1,0,0,0,2007,20,9,2015,28
Blake Coleman\colembl01,C,1,0,0,0,2017,25,1,2017,25
Blake Comeau\comeabl01,LW,0,0,1,0,2007,20,11,2017,30
Blake Geoffrion\geoffbl01,LW,0,0,1,0,2011,22,2,2012,23
Blake Pietila\pietibl01,LW,0,0,1,0,2016,22,2,2017,23
Blake Speers\speerbl01,C,1,0,0,0,2017,20,1,2017,20
Blake Wheeler\wheelbl01,RW,0,0,0,1,2009,22,9,2017,30
Bo Horvat\horvabo01,C,1,0,0,0,2015,19,3,2017,21
Bob Boughner\boughbo01,D,0,1,0,0,2006,34,1,2006,34
Bobby Allen\allenbo01,D,0,1,0,0,2007,28,2,2009,29
Bobby Butler\butlebo01,LW,0,0,1,0,2010,22,5,2014,26
Bobby Farnham\farnhbo01,RW,0,0,0,1,2015,26,3,2017,28
Bobby Holik\holikbo01,C,1,0,0,0,2006,35,4,2009,38
Bobby Robins\robinbo01,C,1,0,0,0,2015,33,1,2015,33
Bobby Ryan\ryanbo01,RW,0,0,0,1,2008,20,10,2017,29
Bobby Sanguinetti\sangubo01,D,0,1,0,0,2010,21,4,2013,24
Bogdan Yakimov\yakimbo01,C,1,0,0,0,2015,20,1,2015,20
Boone Jenner\jennebo01,C,1,0,0,0,2014,20,4,2017,23
Boris Valabik\valabbo01,D,0,1,0,0,2008,21,3,2010,23
Borna Rendulic\rendubo01,RW,0,0,0,1,2015,22,3,2017,24
Boyd Devereaux\deverbo01,C,1,0,0,0,2006,27,4,2009,30
Boyd Gordon\gordobo01,C,1,0,0,0,2006,22,12,2017,33
Boyd Kane\kanebo01,LW,0,0,1,0,2006,27,5,2010,31
Bracken Kearns\kearnbr01,C,1,0,0,0,2012,30,6,2017,35
Brad Boyes\boyesbr01,C,1,0,0,0,2006,23,11,2016,33
Brad Ference\ferenbr01,D,0,1,0,0,2007,27,1,2009,27
Brad Hunt\huntbr01,D,0,1,0,0,2014,25,4,2017,28
Brad Isbister\isbisbr01,LW,0,0,1,0,2006,28,3,2009,30
Brad Larsen\larsebr01,LW,0,0,1,0,2006,28,3,2009,30
Brad Lukowich\lukowbr01,D,0,1,0,0,2006,29,6,2011,34
Brad Malone\malonbr01,C,1,0,0,0,2012,22,5,,
Brad Marchand\marchbr03,C,1,0,0,0,2010,21,8,2017,28
Brad May\maybr01,LW,0,0,1,0,2006,34,5,2010,38
Brad Mills\millsbr01,C,1,0,0,0,2011,27,4,2014,30
Brad Moran\moranbr01,C,1,0,0,0,2007,27,1,2009,27
Brad Norton\nortobr01,D,0,1,0,0,2006,30,2,2009,31
Brad Richards\richabr01,C,1,0,0,0,2006,25,11,2016,35
Brad Richardson\richabr02,C,1,0,0,0,2006,20,12,2017,31
Brad Staubitz\staubbr01,RW,0,0,0,1,2009,24,5,2013,28
Brad Stuart\stuarbr02,D,0,1,0,0,2006,26,11,2016,36
Brad Winchester\winchbr01,LW,0,0,1,0,2006,24,7,2012,30
Brady Austin\austibr01,D,0,1,0,0,2017,23,1,2017,23
Brady Murray\murrabr01,LW,0,0,1,0,2008,23,1,2008,23
Brady Skjei\skjeibr01,D,0,1,0,0,2016,21,2,2017,22
Brandon Bochenski\bochebr01,RW,0,0,0,1,2006,23,5,2010,27
Brandon Bollig\bollibr01,LW,0,0,1,0,2012,25,5,2016,29
Brandon Carlo\carlobr01,D,0,1,0,0,2017,20,1,2017,20
Brandon Davidson\davidbr01,D,0,1,0,0,2015,23,3,2017,25
Brandon DeFazio\defazbr01,LW,0,0,1,0,2015,26,1,2015,26
Brandon Dubinsky\dubinbr01,C,1,0,0,0,2007,20,11,2017,30
Brandon Gormley\gormlbr01,D,0,1,0,0,2014,21,3,2016,23
Brandon Kozun\kozunbr01,RW,0,0,0,1,2015,24,1,2015,24
Brandon Manning\mannibr01,D,0,1,0,0,2012,21,6,2017,26
Brandon Mashinter\mashibr01,LW,0,0,1,0,2011,22,6,2016,27
Brandon McMillan\mcmilbr01,C,1,0,0,0,2011,20,5,2015,24
Brandon Montour\montobr01,D,0,1,0,0,2017,22,1,2017,22
Brandon Nolan\nolanbr01,C,1,0,0,0,2008,24,1,2008,24
Brandon Pirri\pirribr01,C,1,0,0,0,2011,19,7,2017,25
Brandon Prust\prustbr01,C,1,0,0,0,2007,22,10,2016,31
Brandon Reid\reidbr01,C,1,0,0,0,2007,25,1,2009,25
Brandon Saad\saadbr01,LW,0,0,1,0,2012,19,6,2017,24
Brandon Segal\segalbr01,RW,0,0,0,1,2009,25,5,2013,29
Brandon Sutter\suttebr03,C,1,0,0,0,2009,19,9,2017,27
Brandon Tanev\tanevbr01,LW,0,0,1,0,2016,24,2,2017,25
Brandon Yip\yipbr01,RW,0,0,0,1,2010,24,5,2014,28
Branislav Mezei\mezeibr01,D,0,1,0,0,2006,25,3,2009,27
Branko Radivojevic\radivbr01,RW,0,0,0,1,2006,25,3,2009,27
Brayden Irwin\irwinbr01,C,1,0,0,0,2010,22,1,2010,22
Brayden McNabb\mcnabbr01,D,0,1,0,0,2012,21,6,2017,26
Brayden Point\pointbr01,C,1,0,0,0,2017,20,1,2017,20
Brayden Schenn\schenbr01,C,1,0,0,0,2010,18,8,2017,25
Braydon Coburn\coburbr01,D,0,1,0,0,2006,20,12,2017,31
Brendan Bell\bellbr02,D,0,1,0,0,2006,22,7,2012,28
Brendan Gallagher\gallabr01,RW,0,0,0,1,2013,20,5,2017,24
Brendan Gaunce\gauncbr01,C,1,0,0,0,2016,21,2,2017,22
Brendan Guhle\guhlebr01,D,0,1,0,0,2017,19,1,2017,19
Brendan Leipsic\leipsbr01,LW,0,0,1,0,2016,21,1,2016,21
Brendan Mikkelson\mikkebr01,D,0,1,0,0,2009,21,5,2013,25
Brendan Morrison\morribr01,C,1,0,0,0,2006,30,7,2012,36
Brendan Perlini\perlibr01,LW,0,0,1,0,2017,20,1,2017,20
Brendan Ranford\ranfobr01,LW,0,0,1,0,2015,22,1,2015,22
Brendan Shanahan*\shanabr01,LW,0,0,1,0,2006,37,4,2009,40
Brendan Shinnimin\shinnbr01,C,1,0,0,0,2015,24,1,2015,24
Brendan Smith\smithbr05,D,0,1,0,0,2012,22,6,2017,27
Brendan Witt\wittbr01,D,0,1,0,0,2006,30,5,2010,34
Brendan Woods\woodsbr01,LW,0,0,1,0,2015,22,2,2016,23
Brenden Dillon\dillobr01,D,0,1,0,0,2012,21,6,2017,26
Brenden Morrow\morrobr01,LW,0,0,1,0,2006,27,10,2015,36
Brendon Nash\nashbr01,D,0,1,0,0,2011,23,1,2011,23
Brent Burns\burnsbr01,D,0,1,0,0,2006,20,12,2017,31
Brent Regner\regnebr01,D,0,1,0,0,2016,26,1,2016,26
Brent Seabrook\seabrbr01,D,0,1,0,0,2006,20,12,2017,31
Brent Sopel\sopelbr01,D,0,1,0,0,2006,29,6,2011,34
Bret Hedican\hedicbr01,D,0,1,0,0,2006,35,4,2009,38
Brett Bellemore\bellebr01,D,0,1,0,0,2013,24,3,2015,26
Brett Bulmer\bulmebr01,RW,0,0,0,1,2012,19,5,2016,23
Brett Carson\carsobr01,D,0,1,0,0,2009,23,5,2013,27
Brett Clark\clarkbr01,D,0,1,0,0,2006,29,8,2013,36
Brett Connolly\connobr01,RW,0,0,0,1,2012,19,6,2017,24
Brett Festerling\festebr01,D,0,1,0,0,2009,22,4,2012,25
Brett Gallant\gallabr02,LW,0,0,1,0,2014,25,1,2014,25
Brett Hull*\hullbr01,RW,0,0,0,1,2006,41,1,2006,41
Brett Kulak\kulakbr01,D,0,1,0,0,2015,21,3,2017,23
Brett Lebda\lebdabr01,D,0,1,0,0,2006,24,7,2012,30
Brett Lernout\lernobr01,D,0,1,0,0,2016,20,2,2017,21
Brett Maclean\maclebr02,LW,0,0,1,0,2011,22,2,2012,23
Brett McLean\mcleabr01,C,1,0,0,0,2006,27,4,2009,30
Brett Pesce\pescebr01,D,0,1,0,0,2016,21,2,2017,22
Brett Ritchie\ritchbr01,RW,0,0,0,1,2015,21,3,2017,23
Brett Skinner\skinnbr01,D,0,1,0,0,2009,25,1,2009,25
Brett Sterling\sterlbr01,LW,0,0,1,0,2008,23,5,2012,27
Brett Sutter\suttebr04,C,1,0,0,0,2009,21,7,2015,27
Brian Boyle\boylebr01,C,1,0,0,0,2008,23,10,2017,32
Brian Campbell\campbbr02,D,0,1,0,0,2006,26,12,2017,37
Brian Dumoulin\dumoubr01,D,0,1,0,0,2014,22,4,2017,25
Brian Fahey\faheybr01,D,0,1,0,0,2011,29,1,2011,29
Brian Ferlin\ferlibr01,RW,0,0,0,1,2015,22,1,2015,22
Brian Flynn\flynnbr01,C,1,0,0,0,2013,24,5,2017,28
Brian Gibbons\gibbobr02,C,1,0,0,0,2014,25,2,2015,26
Brian Gionta\giontbr01,RW,0,0,0,1,2006,27,12,2017,38
Brian Lashoff\lashobr01,D,0,1,0,0,2013,22,5,2017,26
Brian Lee\leebr01,D,0,1,0,0,2008,20,6,2013,25
Brian Leetch*\leetcbr01,D,0,1,0,0,2006,37,1,2006,37
Brian McGrattan\mcgrabr01,RW,0,0,0,1,2006,24,10,2015,33
Brian O'Neill\oneilbr01,C,1,0,0,0,2016,27,1,2016,27
Brian Pothier\pothibr01,D,0,1,0,0,2006,28,5,2010,32
Brian Rafalski\rafalbr01,D,0,1,0,0,2006,32,6,2011,37
Brian Rolston\rolstbr01,C,1,0,0,0,2006,32,7,2012,38
Brian Salcido\salcibr01,D,0,1,0,0,2009,23,1,2009,23
Brian Savage\savagbr01,LW,0,0,1,0,2006,34,1,2006,34
Brian Strait\straibr01,D,0,1,0,0,2011,23,7,2017,29
Brian Sutherby\suthebr01,C,1,0,0,0,2006,23,6,2011,28
Brian Willsie\willsbr01,RW,0,0,0,1,2006,27,6,2011,32
Brock Boeser\boesebr01,RW,0,0,0,1,2017,19,1,2017,19
Brock McGinn\mcginbr01,LW,0,0,1,0,2016,21,2,2017,22
Brock Nelson\nelsobr01,C,1,0,0,0,2014,22,4,2017,25
Brock Trotter\trottbr02,C,1,0,0,0,2010,22,1,2010,22
Brodie Dupont\duponbr01,C,1,0,0,0,2011,23,1,2011,23
Brody Sutter\suttebr05,C,1,0,0,0,2015,23,2,2016,24
Brooks Laich\laichbr01,C,1,0,0,0,2006,22,11,2016,32
Brooks Orpik\orpikbr01,D,0,1,0,0,2006,25,12,2017,36
Bruno Gervais\gervabr01,D,0,1,0,0,2006,21,8,2013,28
Bruno St. Jacques\stjacbr01,D,0,1,0,0,2006,25,1,2006,25
Bryan Allen\allenbr01,D,0,1,0,0,2006,25,10,2015,34
Bryan Berard\berarbr01,D,0,1,0,0,2006,28,3,2009,30
Bryan Bickell\bickebr01,LW,0,0,1,0,2007,20,11,2017,30
Bryan Helmer\helmebr01,D,0,1,0,0,2009,36,1,2009,36
Bryan Lerg\lergbr01,C,1,0,0,0,2015,29,2,2016,30
Bryan Little\littlbr01,C,1,0,0,0,2008,20,10,2017,29
Bryan Marchment\marchbr02,D,0,1,0,0,2006,36,1,2006,36
Bryan McCabe\mccabbr01,D,0,1,0,0,2006,30,6,2011,35
Bryan Muir\muirbr01,D,0,1,0,0,2006,32,2,2009,33
Bryan Rodney\rodnebr01,D,0,1,0,0,2009,24,4,2012,27
Bryan Rust\rustbr01,RW,0,0,0,1,2015,22,3,2017,24
Bryan Smolinski\smolibr01,C,1,0,0,0,2006,34,3,2009,36
Bryan Young\youngbr02,D,0,1,0,0,2007,20,2,2009,21
Bryce Lampman\lampmbr01,D,0,1,0,0,2006,23,2,2009,24
Bryce Salvador\salvabr01,D,0,1,0,0,2006,29,10,2015,38
Bryce Van Brabant\vanbrbr01,LW,0,0,1,0,2014,22,1,2014,22
Bud Holloway\hollobu01,C,1,0,0,0,2016,27,1,2016,27
Buddy Robinson\robinbu01,RW,0,0,0,1,2016,24,2,2017,25
